LSOA code,Borough
Haringey 001C,Haringey
Haringey 001D,Haringey
Haringey 002A,Haringey
Haringey 002B,Haringey
Haringey 002C,Haringey
Haringey 002D,Haringey
Haringey 004A,Haringey
Haringey 004B,Haringey
Haringey 004C,Haringey
Haringey 004D,Haringey
Haringey 005A,Haringey
Haringey 005B,Haringey
Haringey 005C,Haringey
Haringey 005D,Haringey
Haringey 006A,Haringey
Haringey 006B,Haringey
Haringey 006C,Haringey
Haringey 006D,Haringey
Haringey 007A,Haringey
Haringey 007B,Haringey
Haringey 007C,Haringey
Haringey 007D,Haringey
Haringey 008A,Haringey
Haringey 008B,Haringey
Haringey 008C,Haringey
Haringey 008D,Haringey
Haringey 009A,Haringey
Haringey 009B,Haringey
Haringey 009C,Haringey
Haringey 009D,Haringey
Haringey 010A,Haringey
Haringey 010B,Haringey
Haringey 010C,Haringey
Haringey 010D,Haringey
Haringey 011A,Haringey
Haringey 011B,Haringey
Haringey 011C,Haringey
Haringey 011D,Haringey
Haringey 012A,Haringey
Haringey 012B,Haringey
Haringey 012C,Haringey
Haringey 012D,Haringey
Haringey 013A,Haringey
Haringey 013B,Haringey
Haringey 013C,Haringey
Haringey 013D,Haringey
Haringey 014A,Haringey
Haringey 014B,Haringey
Haringey 014C,Haringey
Haringey 014D,Haringey
Haringey 015A,Haringey
Haringey 015B,Haringey
Haringey 015C,Haringey
Haringey 015D,Haringey
Haringey 016A,Haringey
Haringey 016B,Haringey
Haringey 016C,Haringey
Haringey 016D,Haringey
Haringey 017A,Haringey
Haringey 017B,Haringey
Haringey 017C,Haringey
Haringey 017D,Haringey
Haringey 018A,Haringey
Haringey 018B,Haringey
Haringey 018C,Haringey
Haringey 018D,Haringey
Haringey 019A,Haringey
Haringey 019B,Haringey
Haringey 019C,Haringey
Haringey 019D,Haringey
Haringey 020B,Haringey
Haringey 020C,Haringey
Haringey 020D,Haringey
Haringey 020E,Haringey
Haringey 020F,Haringey
Haringey 021A,Haringey
Haringey 021B,Haringey
Haringey 021C,Haringey
Haringey 021D,Haringey
Haringey 022A,Haringey
Haringey 022B,Haringey
Haringey 022C,Haringey
Haringey 022D,Haringey
Haringey 023A,Haringey
Haringey 023B,Haringey
Haringey 023C,Haringey
Haringey 023D,Haringey
Haringey 024A,Haringey
Haringey 024B,Haringey
Haringey 024C,Haringey
Haringey 024D,Haringey
Haringey 025A,Haringey
Haringey 025B,Haringey
Haringey 025C,Haringey
Haringey 025D,Haringey
Haringey 026A,Haringey
Haringey 026B,Haringey
Haringey 026C,Haringey
Haringey 026D,Haringey
Haringey 027A,Haringey
Haringey 027B,Haringey
Haringey 027C,Haringey
Haringey 027D,Haringey
Haringey 028A,Haringey
Haringey 028B,Haringey
Haringey 028C,Haringey
Haringey 028D,Haringey
Haringey 029A,Haringey
Haringey 029B,Haringey
Haringey 029C,Haringey
Haringey 029D,Haringey
Haringey 030A,Haringey
Haringey 030B,Haringey
Haringey 030C,Haringey
Haringey 030D,Haringey
Haringey 031A,Haringey
Haringey 031B,Haringey
Haringey 031C,Haringey
Haringey 031D,Haringey
Haringey 032A,Haringey
Haringey 032B,Haringey
Haringey 032C,Haringey
Haringey 032D,Haringey
Haringey 033A,Haringey
Haringey 033B,Haringey
Haringey 033C,Haringey
Haringey 033D,Haringey
Haringey 034A,Haringey
Haringey 034B,Haringey
Haringey 034C,Haringey
Haringey 034D,Haringey
Haringey 035A,Haringey
Haringey 035B,Haringey
Haringey 035C,Haringey
Haringey 035D,Haringey
Haringey 036A,Haringey
Haringey 036B,Haringey
Haringey 036C,Haringey
Haringey 036D,Haringey
Haringey 037A,Haringey
Haringey 037B,Haringey
Haringey 037C,Haringey
Haringey 037D,Haringey
Islington 001A,Islington
Islington 001B,Islington
Islington 001C,Islington
Islington 001D,Islington
Islington 001E,Islington
Islington 001F,Islington
Islington 002A,Islington
Islington 002B,Islington
Islington 002C,Islington
Islington 002D,Islington
Islington 002E,Islington
Islington 002F,Islington
Islington 003A,Islington
Islington 003B,Islington
Islington 003C,Islington
Islington 003D,Islington
Islington 003E,Islington
Islington 003F,Islington
Islington 004A,Islington
Islington 004B,Islington
Islington 004C,Islington
Islington 004D,Islington
Islington 004E,Islington
Islington 005A,Islington
Islington 005B,Islington
Islington 005C,Islington
Islington 005D,Islington
Islington 005E,Islington
Islington 006A,Islington
Islington 006B,Islington
Islington 006C,Islington
Islington 006D,Islington
Islington 006F,Islington
Islington 006G,Islington
Islington 007A,Islington
